Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
AmFi Pool de Unitokens ;Pool;23/05/2025;-40;R$ 94,14;R$ 0,01;R$ 94,13;R$ 0,00;R$ 94,14;R$ 0,00;R$ 0,00;R$ 0,00;;10,0%;;0,0%;;"";;AMFI CONSULTING LTDA;;Oferta Privada;Duplicata / Recebível de Cartão;Captação finalizada
NLT Tech One;Pool;31/05/2025;-32;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;24;R$ 5.256.808,43;R$ 1.573.721,38;R$ 3.683.087,05;R$ 6.982.281,21;R$ 1.710.424,61;R$ 5.000,00;R$ 4,56;R$ 0,00;70,1%;30,0%;79,9%;3.099.249,9%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;43;R$ 997.747,92;R$ 486.882,73;R$ 510.865,19;R$ 990.133,10;R$ 0,00;R$ 1.500,00;R$ 2,90;R$ 0,00;51,2%;10,0%;21,4%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;46;R$ 359.897,99;R$ 350.931,35;R$ 8.966,64;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,41;R$ 0,00;2,5%;20,0%;137,6%;135.372,4%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;DS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;73;R$ 107.867,53;R$ 0,00;R$ 107.867,53;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 823.397.408,33;R$ 0,00;100,0%;20,0%;332,8%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;151;R$ 904.190,05;R$ 720.271,24;R$ 183.918,81;R$ 945.426,20;R$ 23.386,74;R$ 6.000,00;R$ 1,40;R$ 0,00;19,9%;20,0%;61,5%;70.473,8%;12,7%;Concentração máx por sacado;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;176;R$ 1.150.733,04;R$ 889.274,80;R$ 261.458,24;R$ 1.027.338,96;R$ 113.394,08;R$ 10.000,00;R$ 1,18;R$ 0,00;22,7%;20,0%;2,9%;0,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;213;R$ 983.835,12;R$ 829.242,29;R$ 154.592,83;R$ 838.793,35;R$ 0,00;R$ 4.500,00;R$ 1,14;R$ 66.659,75;15,7%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
Up Vendas #1;Pool;01/02/2026;214;R$ 625.064,90;R$ 0,01;R$ 625.064,89;R$ 621.457,02;R$ 3.607,88;;R$ 69.913.214,15;R$ 0,00;100,0%;20,0%;19,4%;0,0%;1,7%;"";;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;240;R$ 15.952.488,74;R$ 6.949.202,51;R$ 9.003.286,22;R$ 19.624.254,58;R$ 882.910,25;R$ 100.000,00;R$ 3,21;R$ 1.818.986,22;56,4%;35,0%;52,5%;5.862.261,1%;41,8%;"";27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #3;Pool;18/06/2026;351;R$ 890.666,49;R$ 665.919,70;R$ 224.746,79;R$ 765.870,14;R$ 114.796,35;R$ 10.000,00;R$ 1,17;R$ 0,00;25,2%;20,0%;;0,0%;2,1%;"";18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;416;R$ 1.161.330,25;R$ 914.875,73;R$ 246.454,52;R$ 1.131.475,42;R$ 20.854,83;R$ 9.000,00;R$ 1,44;R$ 0,00;21,2%;20,0%;;0,0%;2,1%;"";22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #3;Pool;03/10/2026;458;R$ 2.207.607,10;R$ 1.382.230,89;R$ 825.376,20;R$ 2.204.193,01;R$ 0,00;R$ 5.000,00;R$ 2,03;R$ 0,00;37,4%;15,0%;9,9%;0,0%;4,5%;"";28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;478;R$ 2.232.620,68;R$ 1.742.367,10;R$ 490.253,58;R$ 2.090.553,20;R$ 138.734,15;R$ 3.333,33;R$ 1,24;R$ 0,00;22,0%;20,0%;3,0%;0,0%;2,4%;"";23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool Maralto #1;Pool;26/10/2026;481;R$ 87.571,84;R$ 91.033,11;R$ 0,00;R$ 0,00;R$ 107,70;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
DS Pool #2;Pool;11/11/2026;497;R$ 1.452.100,91;R$ 1.578.336,88;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,30;R$ 0,00;-8,7%;20,0%;141,1%;596.866,3%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;DS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;541;R$ 69.181,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.851,67;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;"";25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
E-ctare Pool #1;Pool;28/02/2027;606;R$ 10.419.828,81;R$ 8.288.231,84;R$ 2.131.596,98;R$ 6.881.561,82;R$ 3.914.541,64;R$ 25.000,00;R$ 0,97;R$ 0,00;20,5%;20,0%;7,8%;401.274,6%;1,8%;Percentual mínimo de garantias;28/07/2025;ECTARE PAY SERVICOS DE GESTAO DE PAGAMENTOS S/A,;;Oferta Privada;CPR / Duplicata;Captação finalizada
