Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
UnionNational #4;Unitoken;22/09/2023;-665;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #1;Unitoken;25/09/2023;-662;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #2;Unitoken;29/09/2023;-658;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #7;Unitoken;06/11/2023;-620;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #6;Unitoken;06/11/2023;-620;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #5;Unitoken;06/11/2023;-620;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #3;Unitoken;06/11/2023;-620;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
Transcarvalho #1;Unitoken;07/11/2023;-619;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;Transcarvalho;;;Duplicata;
UnionNational #13;Unitoken;10/11/2023;-616;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #12;Unitoken;13/11/2023;-613;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
UnionNational #11;Unitoken;13/11/2023;-613;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;"";;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;;Duplicata;
