Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
AmFi Pool de Unitokens ;Pool;23/05/2025;-45;R$ 94,14;R$ 0,01;R$ 94,13;R$ 0,00;R$ 94,14;R$ 0,00;R$ 0,00;R$ 0,00;;10,0%;;0,0%;;"";;AMFI CONSULTING LTDA;;Oferta Privada;Duplicata / Recebível de Cartão;Captação finalizada
NLT Tech One;Pool;31/05/2025;-37;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;19;R$ 5.199.101,07;R$ 1.577.770,53;R$ 3.621.330,54;R$ 7.155.255,14;R$ 1.710.424,61;R$ 5.000,00;R$ 4,55;R$ 0,00;69,7%;30,0%;80,8%;3.329.931,1%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;38;R$ 996.668,92;R$ 440.759,85;R$ 555.909,07;R$ 987.549,29;R$ 0,00;R$ 1.500,00;R$ 3,19;R$ 0,00;55,8%;10,0%;20,8%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;41;R$ 359.897,99;R$ 351.795,33;R$ 8.102,66;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,41;R$ 0,00;2,3%;20,0%;137,6%;135.372,4%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;DS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;68;R$ 107.867,63;R$ 0,00;R$ 107.867,63;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 821.520.226,11;R$ 0,00;100,0%;20,0%;332,8%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;146;R$ 900.680,67;R$ 722.124,48;R$ 178.556,19;R$ 1.049.836,05;R$ 271.822,25;R$ 6.000,00;R$ 1,54;R$ 0,00;19,8%;20,0%;64,5%;83.433,6%;12,4%;Concentração máx por sacado;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;171;R$ 1.155.019,56;R$ 891.314,34;R$ 263.705,22;R$ 1.021.072,56;R$ 124.111,01;R$ 10.000,00;R$ 1,17;R$ 0,00;22,8%;20,0%;2,8%;164,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;208;R$ 987.219,55;R$ 831.557,55;R$ 155.662,00;R$ 841.899,16;R$ 0,00;R$ 4.500,00;R$ 1,14;R$ 66.710,92;15,8%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
Up Vendas #1;Pool;01/02/2026;209;R$ 12.428,41;R$ 0,01;R$ 12.428,40;R$ 0,00;R$ 0,00;;R$ 0,00;R$ 0,00;100,0%;20,0%;;0,0%;;"";;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
