Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Blipay Pool #1;Pool;26/07/2025;5;R$ 4.029.945,70;R$ 1.591.343,12;R$ 2.438.602,58;R$ 7.171.232,79;R$ 1.710.424,61;R$ 5.000,00;R$ 4,51;R$ 0,00;60,5%;30,0%;178,0%;4.515.064,2%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;24;R$ 1.003.132,86;R$ 438.899,55;R$ 564.233,31;R$ 993.999,65;R$ 0,00;R$ 1.500,00;R$ 3,19;R$ 0,00;56,3%;10,0%;20,6%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;27;R$ 276.044,43;R$ 354.690,65;R$ 0,00;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,40;R$ 0,00;-28,5%;20,0%;179,4%;219.226,0%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;54;R$ 152,84;R$ 0,00;R$ 152,84;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 816.286.850,18;R$ 0,00;100,0%;20,0%;234.862,6%;358.969,6%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;132;R$ 834.684,66;R$ 728.336,47;R$ 106.348,19;R$ 650.630,20;R$ 357.745,77;R$ 6.000,00;R$ 0,98;R$ 0,00;12,7%;20,0%;25,1%;178.879,9%;10,9%;Nível crítico de Subordinação da tranche Sênior;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;157;R$ 1.167.037,87;R$ 898.146,66;R$ 268.891,21;R$ 1.116.618,64;R$ 40.419,23;R$ 10.000,00;R$ 1,27;R$ 0,00;23,0%;20,0%;;0,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
AmFi Alta Liquidez #3;Pool;14/01/2026;177;R$ 150.489,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 25.437,47;R$ 0,00;;R$ 0,00;;30,0%;;0,0%;;"";14/01/2026;AMFI CONSULTING LTDA;;Oferta Privada;CCB / Recebível de Cartão / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;194;R$ 996.763,76;R$ 839.321,84;R$ 157.441,92;R$ 850.659,22;R$ 0,00;R$ 4.500,00;R$ 1,13;R$ 66.854,38;15,8%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;221;R$ 16.686.006,09;R$ 7.027.016,18;R$ 9.658.989,91;R$ 21.903.965,50;R$ 1.201.513,03;R$ 100.000,00;R$ 3,46;R$ 2.821.080,75;57,9%;35,0%;73,9%;8.528.482,6%;41,7%;"";27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #3;Pool;18/06/2026;332;R$ 902.480,46;R$ 672.563,25;R$ 229.917,20;R$ 685.652,04;R$ 206.828,42;R$ 10.000,00;R$ 1,04;R$ 0,00;25,5%;20,0%;;0,0%;2,1%;"";18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;397;R$ 1.177.983,21;R$ 924.446,16;R$ 253.537,05;R$ 1.168.787,20;R$ 196,01;R$ 9.000,00;R$ 1,46;R$ 0,00;21,5%;20,0%;;0,0%;2,1%;"";22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #3;Pool;03/10/2026;439;R$ 2.270.076,13;R$ 1.394.690,55;R$ 875.385,57;R$ 2.227.921,40;R$ 36.942,18;R$ 5.000,00;R$ 1,99;R$ 0,00;38,6%;15,0%;9,6%;0,0%;4,5%;"";28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;459;R$ 2.269.797,41;R$ 1.760.179,13;R$ 509.618,28;R$ 2.261.130,26;R$ 5.333,82;R$ 3.333,33;R$ 1,33;R$ 0,00;22,5%;20,0%;;0,0%;2,8%;"";23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool Maralto #1;Pool;26/10/2026;462;R$ 44.086,02;R$ 48.070,23;R$ 0,00;R$ 0,00;R$ 36,03;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
DS Pool #2;Pool;11/11/2026;478;R$ 1.050.378,32;R$ 1.596.010,30;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,28;R$ 0,00;-52,0%;20,0%;195,1%;998.588,9%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;522;R$ 47.886,07;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;"";25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
E-ctare Pool #1;Pool;28/02/2027;587;R$ 10.325.970,03;R$ 8.370.919,51;R$ 1.955.050,52;R$ 7.311.178,67;R$ 3.553.380,10;R$ 25.000,00;R$ 1,01;R$ 0,00;18,9%;20,0%;11,7%;563.588,7%;1,8%;Concentração máx por sacado, Percentual mínimo de garantias;28/07/2025;ECTARE PAY SERVICOS DE GESTAO DE PAGAMENTOS S/A,;;Oferta Privada;CPR / Duplicata;Captação finalizada
Credmei Pool #1;Pool;15/03/2027;602;R$ 20.289.864,30;R$ 18.135.208,21;R$ 2.154.656,09;R$ 17.930.554,32;R$ 0,00;R$ 0,00;R$ 1,02;R$ 0,00;10,6%;10,0%;1,8%;490.662,2%;3,0%;"";13/04/2026;CREDMEI SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
Pool Nexo #1;Pool;26/03/2027;613;R$ 144.626,00;R$ 76.560,87;R$ 68.065,13;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;5,0%;;0,0%;;"";26/03/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
a55 Cartão Pool #1;Pool;01/04/2027;619;R$ 12.638.193,58;R$ 0,00;R$ 12.638.193,58;R$ 11.387.984,12;R$ 1.250.115,17;R$ 0,00;;R$ 0,00;100,0%;1,0%;0,7%;0,0%;1,6%;"";;A55 PAYMENTS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
Chronos Pool #1;Pool;14/06/2027;693;R$ 1.337.372,09;R$ 1.014.350,46;R$ 323.021,63;R$ 388.414,11;R$ 925.476,78;R$ 25.000,00;R$ 0,39;R$ 0,00;24,2%;25,0%;22,7%;1.518,8%;9,2%;Concentração máx por cedente em percentual;13/01/2027;CHRONOS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Faighus Pool #1;Pool;14/06/2027;693;R$ 1.721.729,14;R$ 1.021.609,57;R$ 700.119,57;R$ 1.663.699,99;R$ 34.372,87;R$ 25.000,00;R$ 1,74;R$ 0,00;40,6%;25,0%;2,7%;2.178,5%;6,5%;"";13/08/2025;FAIGHUS SECURITIZADORA S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Em captação
Price Pool #1 ;Pool;24/06/2027;703;R$ 955.776,92;R$ 761.400,74;R$ 194.376,18;R$ 716.461,62;R$ 214.315,30;R$ 25.000,00;R$ 1,01;R$ 0,00;20,3%;20,0%;0,5%;0,0%;6,6%;Concentração máx por sacado, Concentração máx por cedente em percentual;24/07/2025;PRICE SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
LeCapital Pool #2;Pool;08/07/2027;717;R$ 2.601.260,05;R$ 2.007.839,16;R$ 593.420,89;R$ 292.014,65;R$ 283.646,21;R$ 25.000,00;R$ 0,16;R$ 2.000.599,19;22,8%;20,0%;;0,0%;5,0%;"";08/08/2025;LECAPITAL SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata / Nota Comercial / CCB;Em captação
Blipay Pool #2;Pool;13/07/2027;722;R$ 1.817.914,19;R$ 973.202,09;R$ 844.712,10;R$ 3.354.669,30;R$ 5.207,87;R$ 25.000,00;R$ 4,11;R$ 0,00;46,5%;30,0%;90,9%;1.323.039,8%;33,9%;"";13/02/2027;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Maralto Pool #2;Pool;06/08/2027;746;R$ 1.495.220,38;R$ 1.555.707,80;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";06/08/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / Nota Comercial / CPR / Duplicata / CCB / Ativo Judicial;Em captação
